Feature,Importance
Top1_Confidence,0.9720554806539272
Top1_a,0.09661043942097108
Top1_i,0.09243708396853594
Top1_o,0.08192126639405455
Top1_n,0.07842939474015272
Top1_e,0.06402103716053939
Top1_u,0.06308036360236909
Top1_y,0.06299800856535641
Top1_s,0.05751440062641946
Top1_d,0.03519091327128199
Top1_g,0.03470554503350454
Top1_r,0.032235816458424466
Top1_l,0.030323349653908385
Top1_z,0.02640845786323538
Top1_w,0.025966076128394088
Top1_m,0.0221028286883928
Top1_b,0.02145927616167185
Top1_h,0.021254418423280123
Top1_t,0.02123456242063724
Top1_c,0.020999951504147296
Top1_p,0.01903465957811392
Top1_v,0.017232649558691086
Top1_k,0.016931909344921933
Top1_f,0.016131157646512694
Top1_q,0.015863162839041767
Top1_x,0.013668855801319485
Top1_j,0.012244415146122378
