Feature,Importance
Top1_Confidence,0.9628369337687169
Top1_y,0.06868965666854494
Top1_d,0.05926940725914805
Top1_u,0.056628653809091184
Top1_o,0.0561676309574151
Top1_n,0.05480090024266568
Top1_e,0.05448558004582441
Top1_i,0.05356205863797305
Top1_l,0.04875099664645129
Top1_a,0.04303288450775322
Top1_p,0.04173430567249926
Top1_r,0.0384841994836216
Top1_s,0.037946722211266104
Top1_m,0.03503112837201131
Top1_t,0.03448044269402001
Top1_g,0.033965836771330894
Top1_c,0.03336216237405644
Top1_v,0.03163141264047601
Top1_f,0.031026820631674834
Top1_h,0.03064045834035545
Top1_w,0.02953605352450231
Top1_b,0.02482235886375064
Top1_j,0.02186478722836946
Top1_k,0.02148135438666072
Top1_x,0.020595391675506346
Top1_q,0.019714592610888263
Top1_z,0.018294203744143474
