Feature,Importance
Top1_Confidence,0.9678004936305421
Top1_a,0.10456073700212488
Top1_i,0.08780321738280039
Top1_o,0.07663241839691473
Top1_y,0.06948741678896304
Top1_u,0.06814209256033181
Top1_e,0.061176903111836684
Top1_b,0.055264614793216954
Top1_n,0.049562533088025364
Top1_t,0.04421022348329711
Top1_r,0.03559198998640612
Top1_k,0.03431803542065022
Top1_d,0.029634041966227574
Top1_l,0.02641111798961866
Top1_h,0.024929902553724542
Top1_s,0.024670401163018964
Top1_m,0.02460866580730029
Top1_c,0.024021362254299888
Top1_g,0.02322630616212324
Top1_w,0.02307037716827504
Top1_p,0.020265123709415966
Top1_f,0.01900534826181202
Top1_v,0.018158231925616882
Top1_j,0.017233789695228083
Top1_q,0.0169450771605078
Top1_z,0.01182761645938408
Top1_x,0.009242455708879688
