Feature,Importance
Top1_Confidence,0.9582766664750944
Top1_n,0.08617820913396346
Top1_a,0.07943332247480604
Top1_y,0.06595644922399048
Top1_o,0.05851648242495408
Top1_s,0.05754195510241843
Top1_d,0.05068917969022759
Top1_i,0.04585239303172822
Top1_e,0.0427900586269642
Top1_u,0.04142787976090411
Top1_r,0.03825023430122689
Top1_w,0.03721298990150488
Top1_m,0.0336429112798336
Top1_l,0.032119242564438516
Top1_t,0.031399763910729205
Top1_p,0.02968407630064838
Top1_h,0.02945279779120805
Top1_c,0.029349661498237197
Top1_b,0.029344652918024728
Top1_g,0.02803274265242373
Top1_v,0.027773853043333106
Top1_k,0.027760723014921874
Top1_f,0.024790708780289064
Top1_z,0.020535926144394184
Top1_q,0.01789512286497772
Top1_j,0.0178208346711796
Top1_x,0.01654782889267263
