Feature,Importance
Top1_Confidence,0.9483818774268304
Top1_y,0.1973701209303933
Top1_i,0.17932169474695706
Top1_u,0.06383376113479151
Top1_e,0.052839702692810166
Top1_a,0.045825874882096725
Top1_h,0.04008511866550845
Top1_n,0.039618673234501224
Top1_o,0.03221718956786086
Top1_t,0.03160393664967022
Top1_z,0.030898505148530275
Top1_g,0.02663341816659037
Top1_r,0.023894156532156076
Top1_s,0.0234785985189169
Top1_d,0.021677109603842688
Top1_b,0.021580386588389726
Top1_c,0.019216082440230244
Top1_l,0.01916384530267429
Top1_k,0.01824134990348402
Top1_m,0.017582048463746978
Top1_p,0.01733211594246248
Top1_v,0.01648028457506996
Top1_w,0.015382530595338615
Top1_j,0.014928705237359017
Top1_f,0.0149088963435147
Top1_x,0.01006583314092703
Top1_q,0.005820060992177064
